date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:32:04	45990/45990	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Jun%202014%2000:59:57%20GMT	http://learnpythonthehardway.org/book/_static/osx_textwrangler.png	c:/temp/websites/python_book/learnpythonthehardway.org/book/_static/osx_textwrangler.png	(from http://learnpythonthehardway.org/book/ex1.html)
11:32:06	39454/39454	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Jun%202014%2000:59:53%20GMT	http://learnpythonthehardway.org/book/_static/win_notepadpp_ex1.png	c:/temp/websites/python_book/learnpythonthehardway.org/book/_static/win_notepadpp_ex1.png	(from http://learnpythonthehardway.org/book/ex1.html)
11:32:07	2299/2299	---M--	200	added ('OK')	text/plain	date:Fri,%2006%20Jun%202014%2000:59:54%20GMT	http://learnpythonthehardway.org/book/exercise26.txt	c:/temp/websites/python_book/learnpythonthehardway.org/book/exercise26.txt	(from http://learnpythonthehardway.org/book/ex26.html)
11:32:07	114728/114728	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2006%20Jun%202014%2000:59:57%20GMT	http://learnpythonthehardway.org/book/fonts/myriadpro-cond.ttf	c:/temp/websites/python_book/learnpythonthehardway.org/book/fonts/myriadpro-cond.ttf	(from http://learnpythonthehardway.org/book/stylesheets/main.css)
11:32:07	18768/18768	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Jun%202014%2000:59:53%20GMT	http://learnpythonthehardway.org/book/_static/osx_terminal_ex1.png	c:/temp/websites/python_book/learnpythonthehardway.org/book/_static/osx_terminal_ex1.png	(from http://learnpythonthehardway.org/book/ex1.html)
11:32:07	19100/19100	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Jun%202014%2000:59:53%20GMT	http://learnpythonthehardway.org/book/_static/win_powershell_ex1.png	c:/temp/websites/python_book/learnpythonthehardway.org/book/_static/win_powershell_ex1.png	(from http://learnpythonthehardway.org/book/ex1.html)
11:32:08	13355/13355	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:52%20GMT	http://learnpythonthehardway.org/book/appendix-a-cli/introduction.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/appendix-a-cli/introduction.html	(from http://learnpythonthehardway.org/book/appendixa.html)
11:32:08	15179/15179	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:56%20GMT	http://learnpythonthehardway.org/book/appendix-a-cli/ex1.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/appendix-a-cli/ex1.html	(from http://learnpythonthehardway.org/book/appendixa.html)
11:32:09	13118/13118	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:56%20GMT	http://learnpythonthehardway.org/book/appendix-a-cli/ex2.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/appendix-a-cli/ex2.html	(from http://learnpythonthehardway.org/book/appendixa.html)
11:32:09	36740/36740	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Jun%202014%2000:59:56%20GMT	http://learnpythonthehardway.org/book/_static/http_request_diagram.png	c:/temp/websites/python_book/learnpythonthehardway.org/book/_static/http_request_diagram.png	(from http://learnpythonthehardway.org/book/ex51.html)
